,artist_name,artist_id,genres,followers,popularity
2oDFBmWEtGhq4Wt27XELWk,Old Funeral,Old Funeral,2oDFBmWEtGhq4Wt27XELWk,"['norwegian black metal', 'norwegian metal']","{'href': None, 'total': 8459}",14
3ElkIZseVxGII6Ou1PrpjE,Asthenia,Asthenia,3ElkIZseVxGII6Ou1PrpjE,['chinese metal'],"{'href': None, 'total': 624}",1
1YuWdBFjPDYo0pATObN1WL,Wotam,Wotam,1YuWdBFjPDYo0pATObN1WL,['mexican thrash metal'],"{'href': None, 'total': 202}",1
5Mpj4PUwFZLvr4bgsEyaCm,Last House on the Left,Last House On The Left,5Mpj4PUwFZLvr4bgsEyaCm,['brutal deathcore'],"{'href': None, 'total': 2337}",4
2IeStVJqLkNzg0r6yoQPp1,Tenggorokan,Tenggorokan,2IeStVJqLkNzg0r6yoQPp1,['indonesian death metal'],"{'href': None, 'total': 235}",0
3sWtzm4CL6PxbqLDsXIgO5,Edge of Spirit,Edge of Spirit,3sWtzm4CL6PxbqLDsXIgO5,['japanese hardcore'],"{'href': None, 'total': 920}",2
052t4RP3qUdYNMMw5I4kPM,Thy Endless Wrath,Thy Endless Wrath,052t4RP3qUdYNMMw5I4kPM,['colombian black metal'],"{'href': None, 'total': 225}",0
2UM5JWGjTiMPrJ8XxVyiXA,Zombiekrig,Zombiekrig,2UM5JWGjTiMPrJ8XxVyiXA,['black thrash'],"{'href': None, 'total': 1868}",12
6XVZ7H5bG7i79gLjkaRUzr,Prematory,Prematory,6XVZ7H5bG7i79gLjkaRUzr,['new wave of thrash metal'],"{'href': None, 'total': 1029}",0
4aySZdRiSTaHIdmq4E3gAN,Nachtfalke,Nachtfalke,4aySZdRiSTaHIdmq4E3gAN,"['raw black metal', 'viking black metal']","{'href': None, 'total': 44}",0
19uHo4znsuVbCjbts2zpMQ,Dead Rites,Dead Rites,19uHo4znsuVbCjbts2zpMQ,['atlanta metal'],"{'href': None, 'total': 79}",0
77eDbFr2EjTZhfMJBY8u94,Drowned in Blood,Drowned in Blood,77eDbFr2EjTZhfMJBY8u94,['mexican death metal'],"{'href': None, 'total': 83}",0
5G3fhsUNoG500P6kOZTEKi,Riverain,Riverain,5G3fhsUNoG500P6kOZTEKi,['russian metal'],"{'href': None, 'total': 37}",0
105vC0oJ985P5G3g36EosL,Ufomammut,Ufomammut,105vC0oJ985P5G3g36EosL,"['doom metal', 'drone metal', 'italian doom metal', 'italian metal', 'italian stoner rock', 'post-doom metal', 'post-metal', 'psychedelic doom', 'sludge metal', 'space rock', 'stoner metal', 'stoner rock']","{'href': None, 'total': 47451}",26
2b418uNFkSRjP28ClLDWhT,FamishGod,FamishGod,2b418uNFkSRjP28ClLDWhT,['death doom'],"{'href': None, 'total': 326}",0
62y0NRXJIPGDst2uhHvdzr,Vekygach,Vekygach,62y0NRXJIPGDst2uhHvdzr,['chilean black metal'],"{'href': None, 'total': 85}",0
4UvwHta4dROUqMScUc6X88,Landscapes,Landscapes,4UvwHta4dROUqMScUc6X88,['melodic hardcore'],"{'href': None, 'total': 13450}",18
2wJzL1mVyyUkhn1p0n6Pec,Gryn,Gryn,2wJzL1mVyyUkhn1p0n6Pec,['alternative metalcore'],"{'href': None, 'total': 175}",1
1OogX8A86mXlFoZ6FlngH6,Advent of Bedlam,Advent of Bedlam,1OogX8A86mXlFoZ6FlngH6,"['deep melodic death metal', 'metal tico', 'technical melodic death metal']","{'href': None, 'total': 1584}",2
46zoLDd3UP6iO6R7gKz6DO,Mordicus,MORDiCUS,46zoLDd3UP6iO6R7gKz6DO,"['finnish death metal', 'grim death metal']","{'href': None, 'total': 519}",3
5UNgRqptOCLOW5WI5qSBB7,Inquisidor,Inquisidor,5UNgRqptOCLOW5WI5qSBB7,['mexican thrash metal'],"{'href': None, 'total': 703}",4
2wOi2qbLUki1fdXM14aki4,Playground,Playground,2wOi2qbLUki1fdXM14aki4,"['thai indie rock', 'thai pop', 'thai rock']","{'href': None, 'total': 128201}",34
5LiqoX44UI2Pe9x1S1CgnF,Our Last Enemy,Our Last Enemy,5LiqoX44UI2Pe9x1S1CgnF,['australian metal'],"{'href': None, 'total': 863}",1
5sexLzMVXpKVLgDVb6TG9g,Fallen Reign,Fallen Reign,5sexLzMVXpKVLgDVb6TG9g,['progressive power metal'],"{'href': None, 'total': 118}",0
7hdSLitLgpdDEnDwfVjgKa,Feign,Feign,7hdSLitLgpdDEnDwfVjgKa,"['downtempo deathcore', 'progressive deathcore']","{'href': None, 'total': 3744}",9
1YQyg76B7F4jkrA0l1oJQn,Sethian,Sethian,1YQyg76B7F4jkrA0l1oJQn,"['finnish heavy metal', 'finnish power metal', 'finnish progressive metal']","{'href': None, 'total': 381}",1
0eY7lj5KufmQOffhrBUzep,Laburnum Diver,Laburnum Diver,0eY7lj5KufmQOffhrBUzep,['slovak metal'],"{'href': None, 'total': 23}",0
3vR4fomRholol09CpTlCQA,Sun Caged,Sun Caged,3vR4fomRholol09CpTlCQA,"['dutch metal', 'progressive metal']","{'href': None, 'total': 4499}",5
4IXvYfWUEGRYYkQT3epHuL,Infestus,Infestus,4IXvYfWUEGRYYkQT3epHuL,"['austrian metal', 'chaotic black metal']","{'href': None, 'total': 1444}",2
0T073Nv8qEZ0Pd8dN0U3n4,Aeon Zen,Aeon Zen,0T073Nv8qEZ0Pd8dN0U3n4,['melodic progressive metal'],"{'href': None, 'total': 3493}",6
1j3iytx0SQ6sNLLsaIoRvk,Animus Mortis,Animus Mortis,1j3iytx0SQ6sNLLsaIoRvk,"['chilean black metal', 'chilean metal']","{'href': None, 'total': 556}",1
42RaoA2eo1Wkzo1gNwhT58,Prime Creation,Prime Creation,42RaoA2eo1Wkzo1gNwhT58,['melodic metal'],"{'href': None, 'total': 489}",8
4eUUnnms2PaVF3k8AiqAwY,Fraser Edwards,Fraser Edwards,4eUUnnms2PaVF3k8AiqAwY,"['british power metal', 'scottish metal']","{'href': None, 'total': 5681}",29
6TVoU6x9j4sPxKVy88c388,Strings 24,Strings 24,6TVoU6x9j4sPxKVy88c388,['shred'],"{'href': None, 'total': 192}",1
3ANpeCyukmf78MgaB75Vlp,Rebolt,Rebolt,3ANpeCyukmf78MgaB75Vlp,['deep melodic hard rock'],"{'href': None, 'total': 27}",0
0AIlJpZGwg6GAqrdsIj0iE,Ehun Kilo,Ehun kilo,0AIlJpZGwg6GAqrdsIj0iE,['euskal metal'],"{'href': None, 'total': 253}",3
